Status,Topic,Description,Leetcode URL
NotPassed,Tree,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/
NotPassed,Tree,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
NotPassed,Tree,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/
NotPassed,Tree,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
NotPassed,Tree,Lowest Common Ancestor of BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
NotPassed,Tree,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/
NotPassed,Tree,Add and Search Word,https://leetcode.com/problems/add-and-search-word-data-structure-design/
NotPassed,Tree,Word Search II,https://leetcode.com/problems/word-search-ii/
NotPassed,Heap,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/
NotPassed,Heap,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/
NotPassed,Heap,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/
